dataset,winter_year,n_days_analysis_window,first_analysis_date,last_analysis_date,max_1d_mean_demand_MW,max_1d_window_start,max_1d_window_end,max_7d_mean_demand_MW,max_7d_window_start,max_7d_window_end,max_14d_mean_demand_MW,max_14d_window_start,max_14d_window_end,max_21d_mean_demand_MW,max_21d_window_start,max_21d_window_end,max_28d_mean_demand_MW,max_28d_window_start,max_28d_window_end,max_35d_mean_demand_MW,max_35d_window_start,max_35d_window_end,max_42d_mean_demand_MW,max_42d_window_start,max_42d_window_end,max_49d_mean_demand_MW,max_49d_window_start,max_49d_window_end,max_56d_mean_demand_MW,max_56d_window_start,max_56d_window_end,max_63d_mean_demand_MW,max_63d_window_start,max_63d_window_end,max_70d_mean_demand_MW,max_70d_window_start,max_70d_window_end,max_77d_mean_demand_MW,max_77d_window_start,max_77d_window_end,max_84d_mean_demand_MW,max_84d_window_start,max_84d_window_end
Hannah,1971,144,1970-11-08,1971-03-31,43091.655311244,1971-01-05,1971-01-05,40946.01057152372,1970-12-30,1971-01-05,40565.95347102701,1970-12-24,1971-01-06,39661.42926409958,1970-12-20,1971-01-09,39070.63696195558,1970-12-11,1971-01-07,38709.643085708405,1970-12-08,1971-01-11,38463.944200610356,1970-12-08,1971-01-18,38298.48512270656,1970-12-20,1971-02-06,38179.21474751716,1970-12-09,1971-02-02,38062.867247480324,1970-12-07,1971-02-07,37970.435906083345,1970-12-10,1971-02-17,37936.986676155284,1970-12-21,1971-03-07,37870.708716206114,1970-12-14,1971-03-07
Hannah,1972,145,1971-11-08,1972-03-31,42310.23130789,1972-01-31,1972-01-31,39698.16823598557,1972-01-28,1972-02-03,38865.01636098857,1972-01-24,1972-02-06,38550.32066335943,1972-01-17,1972-02-06,38267.05779161886,1972-01-17,1972-02-13,38314.23352111205,1971-12-30,1972-02-02,38264.34267388229,1971-12-28,1972-02-07,38152.87411676967,1971-12-29,1972-02-15,38057.978904763506,1971-12-28,1972-02-21,37933.64868411835,1971-12-28,1972-02-28,37810.11303243115,1971-12-28,1972-03-06,37725.28196000008,1971-12-28,1972-03-13,37565.62928226843,1971-11-19,1972-02-10
Hannah,1973,144,1972-11-08,1973-03-31,41005.222611077006,1973-01-17,1973-01-17,39368.69501019729,1973-01-16,1973-01-22,38891.54308178479,1973-01-09,1973-01-22,38348.26218094724,1973-01-05,1973-01-25,38143.584479128396,1972-12-26,1973-01-22,38146.5518722714,1972-12-20,1973-01-23,37893.226189755005,1972-12-18,1973-01-28,37722.50985260892,1972-12-07,1973-01-24,37702.56110419357,1972-12-24,1973-02-17,37715.1843074494,1972-12-19,1973-02-19,37730.797846917776,1972-11-14,1973-01-22,37645.664087849844,1972-11-13,1973-01-28,37549.777793761525,1972-11-14,1973-02-05
Hannah,1974,144,1973-11-08,1974-03-31,41282.503184612,1973-11-30,1973-11-30,40084.233284460715,1973-11-26,1973-12-02,38963.0197083655,1973-11-26,1973-12-09,38707.83283042519,1973-11-25,1973-12-15,38505.66637007997,1973-11-25,1973-12-22,38316.87991452434,1973-11-21,1973-12-25,38265.78269990698,1973-11-25,1974-01-05,38158.6374714197,1973-11-25,1974-01-12,38066.03145278308,1973-11-17,1974-01-11,37923.97466062727,1973-11-16,1974-01-17,37756.793246686386,1973-11-16,1974-01-24,37700.058469047704,1973-11-25,1974-02-09,37674.940512048976,1973-11-17,1974-02-08
Hannah,1975,144,1974-11-08,1975-03-31,39958.05704375,1974-12-17,1974-12-17,37727.371122361285,1975-01-18,1975-01-24,37510.27157101979,1975-01-16,1975-01-29,37292.916917317576,1975-01-21,1975-02-10,37287.11904339611,1975-01-18,1975-02-14,37279.03510329623,1975-01-18,1975-02-21,37217.44647078886,1975-01-17,1975-02-27,37098.5644204458,1975-01-12,1975-03-01,36989.19449617134,1975-01-04,1975-02-28,36930.78936687611,1975-01-17,1975-03-20,36864.28193868271,1975-01-12,1975-03-22,36848.77932024187,1974-12-09,1975-02-23,36831.35142770833,1974-12-09,1975-03-02
Hannah,1976,145,1975-11-08,1976-03-31,42152.29066563,1976-01-30,1976-01-30,40457.83093925943,1976-01-29,1976-02-04,39809.414018788215,1976-01-24,1976-02-06,39091.99922437848,1976-01-23,1976-02-12,38820.93642903954,1976-01-23,1976-02-19,38421.38433158812,1976-01-18,1976-02-21,38000.22195871905,1976-01-13,1976-02-23,37763.251849147324,1976-01-03,1976-02-20,37734.588019313465,1975-12-13,1976-02-06,37740.399858154255,1975-12-11,1976-02-11,37765.13171132304,1975-12-12,1976-02-19,37711.387804828104,1975-12-07,1976-02-21,37724.81149421363,1975-11-28,1976-02-19
Hannah,1977,144,1976-11-08,1977-03-31,42388.257924678,1976-12-29,1976-12-29,40155.00381692815,1977-01-12,1977-01-18,39584.51852124865,1976-12-25,1977-01-07,39682.02558056214,1976-12-28,1977-01-17,39559.013037749675,1976-12-24,1977-01-20,39479.93007753586,1976-12-15,1977-01-18,39453.41910377905,1976-12-09,1977-01-19,39444.84549933049,1976-12-03,1977-01-20,39224.29553390899,1976-11-29,1977-01-23,39121.32009660345,1976-12-02,1977-02-02,38960.80452225643,1976-11-29,1977-02-06,38758.70035115218,1976-11-22,1977-02-06,38582.42581815321,1976-11-29,1977-02-20
Hannah,1978,144,1977-11-08,1978-03-31,42283.82546952699,1978-02-15,1978-02-15,40684.681801812854,1978-02-14,1978-02-20,40440.31240067678,1978-02-08,1978-02-21,39619.78587718733,1978-02-01,1978-02-21,39405.52591953683,1978-01-25,1978-02-21,39407.33365718537,1978-01-17,1978-02-20,39335.21305921288,1978-01-11,1978-02-21,39156.5148455311,1978-01-04,1978-02-21,38967.84789962034,1977-12-29,1978-02-22,38725.329957140195,1977-12-24,1978-02-24,38509.3667942507,1977-12-17,1978-02-24,38290.92919258651,1977-12-07,1978-02-21,38357.9821736191,1977-11-30,1978-02-21
Hannah,1979,144,1978-11-08,1979-03-31,43519.836988530005,1979-01-04,1979-01-04,41721.45770360914,1978-12-31,1979-01-06,40893.04650326529,1978-12-31,1979-01-13,40568.10635832966,1978-12-31,1979-01-20,40608.569976526145,1979-01-01,1979-01-28,40540.85397704426,1978-12-31,1979-02-03,40418.31073094638,1978-12-31,1979-02-10,40410.70887398335,1978-12-31,1979-02-17,40275.4471355074,1978-12-30,1979-02-23,40093.45912473283,1978-12-19,1979-02-19,39979.74669756708,1978-12-18,1979-02-25,39785.10642305293,1978-12-16,1979-03-02,39603.0675152645,1978-11-29,1979-02-20
Hannah,1980,145,1979-11-08,1980-03-31,42519.753723129,1980-01-02,1980-01-02,40247.18517435243,1980-01-13,1980-01-19,39780.30609009493,1980-01-09,1980-01-22,39646.46913065171,1979-12-31,1980-01-20,39555.803325645036,1979-12-25,1980-01-21,39479.1994441712,1979-12-20,1980-01-23,39360.59812499655,1979-12-19,1980-01-29,39192.65370393547,1979-12-18,1980-02-04,38968.132174017395,1979-12-14,1980-02-07,38653.15776794866,1979-12-11,1980-02-11,38364.833942608006,1979-12-11,1980-02-18,38192.0427269023,1979-12-14,1980-02-28,38040.162188551585,1979-12-14,1980-03-06
